Rank,CustomerID,Churn_Probability,MonthlyCharges,CLV,Expected_Loss,Expected_Value_of_Action
1,3389-YGYAI,0.8223024366599656,105.5,2532.0,2082.0697696230327,574.6209308869098
2,1583-IHQZE,0.760183888853951,112.95,2710.8,2060.7064859052907,568.2119457715872
3,3606-TWKGI,0.8023680067126284,106.9,2565.6000000000004,2058.55535802192,567.5666074065759
4,1400-MMYXY,0.8080478165638209,105.9,2541.6000000000004,2053.7343305786076,566.1202991735822
5,5380-WJKOV,0.8029890541370122,106.35,2552.3999999999996,2049.5492617793097,564.8647785337929
6,2027-FECZV,0.7993195454222226,106.7,2560.8,2046.8974919172279,564.0692475751683
7,6496-SLWHQ,0.8122110501970315,105.0,2520.0,2046.7718464965194,564.0315539489558
8,8884-ADFVN,0.8315569581865372,101.95,2446.8,2034.6535652908194,560.3960695872458
9,9851-QXEEQ,0.8050529973891978,104.7,2512.8,2022.9371718395764,556.8811515518729
10,5299-SJCZT,0.8277258607801089,101.55,2437.2,2017.3334678932813,555.2000403679843
11,9221-OTIVJ,0.8011596836451915,104.85,2516.3999999999996,2016.0382279247597,554.8114683774279
12,5419-JPRRN,0.8276552716891583,101.45,2434.8,2015.1750555087629,554.5525166526288
13,8868-WOZGU,0.7922505142773459,105.7,2536.8,2009.7811046187712,552.9343313856314
14,4822-RVYBB,0.8315617066243662,100.6,2414.3999999999996,2007.7225844738696,552.3167753421609
15,1309-BXVOQ,0.7873600359985394,106.1,2546.3999999999996,2004.9335956666805,551.4800787000041
16,5052-PNLOS,0.7929596761175558,105.35,2528.3999999999996,2004.9192450956277,551.4757735286883
17,8111-SLLHI,0.7903397660713054,105.65,2535.6000000000004,2003.9855108504023,551.1956532551206
18,9600-NAXZN,0.8224938809337476,101.4,2433.6000000000004,2001.6211086403687,550.4863325921106
19,1723-HKXJQ,0.8184357880283162,101.75,2442.0,1998.620194365148,549.5860583095445
20,2968-SSGAA,0.8277696012118794,100.6,2414.3999999999996,1998.5669251659613,549.5700775497884
21,4078-SAYYN,0.8251529583422045,100.75,2418.0,1995.2198532714503,548.5659559814351
22,6688-UZPWD,0.8148331864971695,102.0,2448.0,1994.711640545071,548.4134921635213
23,0781-LKXBR,0.8224078649635114,100.5,2412.0,1983.6477702919894,545.0943310875969
24,6023-YEBUP,0.8180301854316511,100.95,2422.8,1981.9235332638043,544.5770599791413
25,0897-FEGMU,0.8290189820089713,99.5,2388.0,1979.6973290374235,543.9091987112271
26,6861-XWTWQ,0.8289441491520059,99.25,2382.0,1974.544963280078,542.3634889840234
27,0107-YHINA,0.8247291665247406,99.75,2394.0,1974.401624660229,542.3204873980686
28,4587-VVTOX,0.7809158291334795,105.3,2527.2,1973.5304833861292,542.0591450158387
29,9305-CDSKC,0.8238772220900359,99.65,2391.6000000000004,1970.38476435053,541.115429305159
30,9681-OXGVC,0.8160167861385844,100.5,2412.0,1968.2324881662655,540.4697464498796
31,3178-FESZO,0.8178861838722071,100.25,2406.0,1967.8341583965303,540.350247518959
32,2656-TABEH,0.8182289143377105,100.2,2404.8,1967.6768931993263,540.3030679597979
33,2012-NWRPA,0.8234684155996046,99.55,2389.2,1967.4307385505751,540.2292215651726
34,0115-TFERT,0.735341362959641,111.2,2668.8,1962.47902946669,538.743708840007
35,5293-WXJAK,0.7855965654633769,104.05,2497.2,1961.7917432751447,538.5375229825434
36,5519-YLDGW,0.7839035705447893,103.9,2493.6000000000004,1954.7419435104869,536.422583053146
37,3902-FOIGH,0.8036180257634757,101.35,2432.3999999999996,1954.7204858670782,536.4161457601234
38,8118-LSUEL,0.763834754005881,106.4,2553.6000000000004,1950.528427829418,535.1585283488254
39,7216-EWTRS,0.8062454280157919,100.8,2419.2,1950.4689394558036,535.140681836741
40,7234-FECYN,0.8007899682163659,101.35,2432.3999999999996,1947.8415186894883,534.3524556068464
41,3811-VBYBZ,0.8131902512394686,99.8,2395.2,1947.7532897687752,534.3259869306326
42,6646-VRFOL,0.7812937288077889,103.85,2492.3999999999996,1947.2964896805329,534.1889469041598
43,7450-NWRTR,0.8135637752636233,99.45,2386.8,1941.8140187992162,532.5442056397649
